tree_id,name,x,y,z,roll,pitch,yaw,uri,raw_x,raw_y,offset_x_local,offset_y_local,offset_status
1,world_jean_tree_001,3.181896,-0.321042,0.000000,0.000000,0.000000,-1.401532,model://world_jean_tree,1.986238,0.404763,0.916850,1.056304,fixed_world_jean
2,world_jean_tree_002,0.916850,1.056304,0.000000,0.000000,0.000000,0.000000,model://world_jean_tree,0.000000,0.000000,0.916850,1.056304,fixed_world_jean
3,world_jean_tree_003,-2.291490,3.350959,0.000000,0.000000,0.000000,-2.405628,model://world_jean_tree,-2.321035,4.749358,0.916850,1.056304,fixed_world_jean
4,world_jean_tree_004,1.513850,-1.898880,0.000000,0.000000,0.000000,-1.852761,model://world_jean_tree,0.754366,-0.724326,0.916850,1.056304,fixed_world_jean
5,world_jean_tree_005,-0.297963,-4.246946,0.000000,0.000000,0.000000,-2.835246,model://world_jean_tree,0.257643,-2.963321,0.916850,1.056304,fixed_world_jean
6,world_jean_tree_006,-2.941242,-3.705897,0.000000,0.000000,0.000000,-0.055596,model://world_jean_tree,-3.915372,-4.709622,0.916850,1.056304,fixed_world_jean
7,world_jean_tree_007,-3.376859,-3.471616,0.000000,0.000000,0.000000,-0.055596,model://world_jean_tree,-4.350989,-4.475341,0.916850,1.056304,fixed_world_jean
8,world_jean_tree_008,0.002428,-4.031880,0.000000,0.000000,0.000000,-2.444524,model://world_jean_tree,0.027284,-2.633390,0.916850,1.056304,fixed_world_jean
9,world_jean_tree_009,-1.637120,0.399157,0.000000,0.000000,0.000000,0.384187,model://world_jean_tree,-2.091227,-0.923786,0.916850,1.056304,fixed_world_jean
10,world_jean_tree_010,-2.722800,3.270697,0.000000,0.000000,0.000000,0.963397,model://world_jean_tree,-2.378709,1.914971,0.916850,1.056304,fixed_world_jean
11,world_jean_tree_011,0.253987,3.775431,0.000000,0.000000,0.000000,-0.903485,model://world_jean_tree,-1.143144,3.841885,0.916850,1.056304,fixed_world_jean
12,world_jean_tree_012,-3.426651,0.254661,0.000000,0.000000,0.000000,-2.689910,model://world_jean_tree,-3.062804,1.605219,0.916850,1.056304,fixed_world_jean
13,world_jean_tree_013,3.416197,3.627089,0.000000,0.000000,0.000000,1.851518,model://world_jean_tree,4.685165,3.038776,0.916850,1.056304,fixed_world_jean
14,world_jean_tree_014,-0.182591,3.062319,0.000000,0.000000,0.000000,-0.140443,model://world_jean_tree,-1.238277,2.144758,0.916850,1.056304,fixed_world_jean
15,world_jean_tree_015,3.905469,2.702220,0.000000,0.000000,0.000000,0.462843,model://world_jean_tree,3.556717,1.347686,0.916850,1.056304,fixed_world_jean
16,world_jean_tree_016,3.006267,-3.527829,0.000000,0.000000,0.000000,-2.599724,model://world_jean_tree,3.246999,-2.149990,0.916850,1.056304,fixed_world_jean
17,world_jean_tree_017,3.583137,-4.030585,0.000000,0.000000,0.000000,-0.963640,model://world_jean_tree,2.192528,-3.880258,0.916850,1.056304,fixed_world_jean
18,world_jean_tree_018,1.656556,0.333330,0.000000,0.000000,0.000000,2.207372,model://world_jean_tree,3.050985,0.223972,0.916850,1.056304,fixed_world_jean
19,world_jean_tree_019,-0.981631,-2.297448,0.000000,0.000000,0.000000,0.942517,model://world_jean_tree,-0.665921,-3.660063,0.916850,1.056304,fixed_world_jean
20,world_jean_tree_020,-2.554824,-0.776854,0.000000,0.000000,0.000000,1.279711,model://world_jean_tree,-1.806085,-1.958286,0.916850,1.056304,fixed_world_jean
